video_id,hour1_views,hour1_likes,hour1_comments,channel_id,publish_time,category,subscriber_count,avg_last10_views,duration_seconds,hook_probability,motion_intensity_3s,face_ratio_3s,cuts_first3s,hook_audio_intensity,tempo_bpm,hook_text_ratio
m2Up73NDw3U,2252,34,1,UCMHUUsr-SZlN0mlLXm2547g,2026-03-02T05:35:00Z,Entertainment,61500,12211.8,49,,,,,,,
tzD09XhAoIE,748,26,1,UC2biLbRturELXz6Cj7Mo4mw,2026-03-02T05:29:01Z,People & Blogs,42600,6109.9,8,,,,,,,
WqWo5tX-yBY,715,6,0,UCNwboAfQGB8f31nTgbXrHFg,2026-03-02T05:24:01Z,People & Blogs,14800,733.3,45,,,,,,,
2rrfsXLGoIE,557,32,1,UC70Oletc9woF6EBndN0AcuA,2026-03-02T05:21:03Z,People & Blogs,18100,7149.1,23,,,,,,,
YO74gc1eSaQ,263,3,0,UCfBenYoOWXREJZW2Ex_YEpA,2026-03-02T05:17:33Z,People & Blogs,32400,359.7,41,,,,,,,
DyUZ8VuqBg8,2571,6,0,UC5Bz3tBZhZwnHcInEwji2PQ,2026-03-02T05:14:00Z,People & Blogs,11100,25207.6,8,,,,,,,
Vmf08DjnhcQ,33157,220,2,UCoDMjjEJBosJyyow8-Y2kGQ,2026-03-02T05:09:42Z,People & Blogs,44500,89182.6,24,,,,,,,
JfEW7LRwgXw,387,12,2,UC-Y-sxIL-rFfBDszRxq4n2g,2026-03-02T05:05:35Z,Entertainment,21200,7098.1,54,,,,,,,
n2e0xhZkcjY,3111,109,0,UCi1PlkGCuIzIYXc26eYhE8Q,2026-03-02T05:03:17Z,Entertainment,35100,41829.7,53,,,,,,,
kV2SknWEX9Y,779,36,0,UCrX-QPc2W7WA7QKBRG5PdaQ,2026-03-02T05:00:50Z,People & Blogs,26900,1422.4,11,,,,,,,
tnmaM8_INB0,632,4,0,UCMGn3FwjJ2b2kHBa8QNIm_g,2026-03-02T05:01:03Z,Autos & Vehicles,10100,1723.7,37,,,,,,,
PxTOWj88Cf4,5482,0,1,UCITbzJ4EFX6hN4eqzioS-nA,2026-03-02T04:58:57Z,People & Blogs,56600,58096.9,22,,,,,,,
orzc31QYdCo,1037,4,0,UCtcn1ehG1XUrVXslu9oKvQQ,2026-03-02T04:57:34Z,People & Blogs,14800,1011.7,7,,,,,,,
mif9zOwDI_I,1118,106,0,UCPApZXzQsC0ZtDMDeVdFTQQ,2026-03-02T05:46:33Z,People & Blogs,26300,12470.2,56,,,,,,,
eGDpWzUk09s,75,2,0,UCXFLIvSVPgfk85Bav3PTCFg,2026-03-02T05:25:05Z,People & Blogs,52800,6968.2,37,,,,,,,
JEfXdxDJbkg,623,60,11,UC2NuwSwPD8HVHo0LmvxEAVw,2026-03-02T04:58:41Z,People & Blogs,20600,10921.8,47,,,,,,,
Y1r0ATaA2Oc,2470,13,4,UCqVczurl_wYf9TCyK5swrAA,2026-03-02T06:44:50Z,People & Blogs,13000,640.8,26,,,,,,,
A-6jmS5DqeE,652,4,0,UCUTjlqraqWqLe0_zY6fnarA,2026-03-02T06:36:36Z,People & Blogs,54500,5840.2,11,,,,,,,
